URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,70,27,0.44329896907216493,0.014112903225806451,62.0,25.05040322580645,34.82016129032258,0.03125,497,1984,3936,2,6.842741935483871
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,54,28,0.3170731707317073,0.028967254408060455,99.25,17.632241813602015,46.752896725440806,0.0625,280,1588,2751,6,6.156171284634761
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,29,0.3829787234042553,0.014814814814814815,72.6923076923077,24.126984126984127,38.72771672771673,0.038461538461538464,456,1890,3698,2,6.6158730158730155
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,56,16,0.5555555555555556,0.029875067897881587,63.48275862068966,16.404128191200435,31.95475472475604,0.034482758620689655,302,1841,3255,17,6.155350353068984
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,52,21,0.4246575342465753,0.028051948051948054,66.37931034482759,18.805194805194805,34.07380206000896,0.034482758620689655,362,1925,3484,12,6.352727272727273
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,44,16,0.4666666666666667,0.04002713704206241,98.26666666666667,18.385345997286294,46.66080506558119,0.06666666666666667,271,1474,2639,18,6.304613297150611
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,9,0.41935483870967744,0.02753303964757709,129.71428571428572,21.365638766519822,60.43196979232222,0.14285714285714288,194,908,1641,7,6.438325991189427
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,34,9,0.5813953488372093,0.04318936877076412,129.0,14.839424141749724,57.5357696566999,0.14285714285714285,134,903,1534,2,6.1827242524916945
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,69,32,0.36633663366336633,0.031276778063410456,86.44444444444444,19.108826049700088,42.22130819765781,0.037037037037037035,446,2334,4214,9,6.144815766923736
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,54,43,0.1134020618556701,0.06113941639647985,98.13636363636364,19.129226493747105,46.90623605204431,0.045454545454545456,413,2159,3989,1,6.415933302454841
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,40,15,0.45454545454545453,0.024799416484318017,42.84375,23.559445660102117,26.561278264040848,0.03125,323,1371,2694,8,6.710430342815463
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29,20,0.1836734693877551,0.017580872011251757,74.84210526315789,18.776371308016877,37.44739062846991,0.05263157894736842,267,1422,2517,6,6.289029535864979
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,61,23,0.4523809523809524,0.03952991452991453,56.72727272727273,17.895299145299145,29.849028749028747,0.030303030303030304,335,1872,3343,33,6.158653846153846
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,61,18,0.5443037974683544,0.023497267759562842,44.63414634146341,19.508196721311474,25.656937225109957,0.024390243902439025,357,1830,3330,12,6.32896174863388
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,20,0,1.0,0.021865889212827987,98.0,22.157434402332363,48.06297376093295,0.14285714285714285,152,686,1326,0,6.705539358600583
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,102,39,0.44680851063829785,0.03170608958228485,662.3333333333334,15.299446401610467,271.05311189397753,0.33333333333333337,304,1987,3423,15,5.964267740312028
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,28,1,0.9310344827586207,0.03398926654740608,32.88235294117647,21.914132379248656,21.918594128170053,0.029411764705882353,245,1118,2079,0,6.480322003577817
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,12,6,0.3333333333333333,0.014606741573033709,38.69565217391305,25.50561797752809,25.680508060576457,0.04347826086956522,227,890,1722,0,6.748314606741573
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,7,3,0.4,0.027237354085603113,57.111111111111114,23.151750972762645,32.1051448335495,0.11111111111111112,119,514,992,2,6.848249027237354
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,34,61,-0.28421052631578947,0.018506700701978303,82.47368421052632,18.634333120612638,40.44320693245558,0.05263157894736842,292,1567,2855,2,6.329929802169751
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,19,9,0.35714285714285715,0.019715224534501644,152.16666666666666,18.729463307776562,68.3584519897773,0.16666666666666666,171,913,1652,3,6.365826944140197
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,63,24,0.4482758620689655,0.026874115983026876,84.84,17.868929750117868,41.083571900047154,0.04,379,2121,3773,10,6.188590287600189
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,45,1,0.9565217391304348,0.024390243902439025,47.833333333333336,20.789779326364695,27.44924506387921,0.05555555555555556,179,861,1644,4,6.623693379790941
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,7,1,0.75,0.033101045296167246,143.5,15.6794425087108,63.67177700348432,0.25,90,574,1012,0,6.437282229965157
